Airline,Source,Destination,Duration (hrs),Stopovers,Aircraft Type,Class,Booking Source,Base Fare (BDT),Tax & Surcharge (BDT),Seasonality,Days Before Departure
Air India,DAC,SPD,3.7444923695457146,Direct,Airbus A320,Economy,Travel Agency,23266.555727581752,-8818.663256708081,Regular,28.535398000366175
Air Astra,SPD,DXB,2.6093901287896686,Direct,Boeing 737,Business,Travel Agency,74100.05237141115,12547.744450773534,Winter Holidays,-13.25588158887063
AirAsia,RJH,BKK,4.3608155880850274,Direct,Boeing 737,Economy,Online Website,89910.06648356967,6139.819188216185,Regular,95.13830330839227
IndiGo,JSR,IST,4.35549339326578,2 Stops,Boeing 777,Business,Online Website,-53536.24857062298,3287.2764628229215,Regular,58.60966123115402
Air India,RJH,DXB,3.6352084469632535,Direct,Boeing 737,Economy,Direct Booking,31175.801595456975,20730.44880297573,Winter Holidays,61.39045950667651
Air Arabia,BZL,DXB,0.604114739036278,Direct,Boeing 787,Economy,Travel Agency,36463.6601613144,2198.0038890645064,Regular,16.12493913320591
Malaysian Airlines,DAC,LHR,6.321351919805141,1 Stop,Boeing 777,First Class,Direct Booking,250992.2901966443,36190.331467907796,Regular,17.072639695921687
Vistara,CGP,CXB,-2.151279035948347,Direct,Airbus A320,Business,Direct Booking,-29264.560916151917,6030.680345968046,Regular,80.27600312968885
Saudia,RJH,SIN,4.762840863805717,1 Stop,Boeing 787,First Class,Travel Agency,186011.62777822302,34503.693009732,Regular,70.0943691717323
IndiGo,ZYL,JED,4.034431450134466,2 Stops,Boeing 777,First Class,Direct Booking,203236.17146436038,49764.67559890369,Regular,75.82469751024989
Saudia,SPD,JFK,14.430608287506365,1 Stop,Airbus A350,First Class,Direct Booking,183071.24123994613,36473.686526989826,Regular,85.53166440000571
Qatar Airways,CGP,RJH,-0.24100615856349594,Direct,Airbus A320,Economy,Travel Agency,-72832.30170137431,7264.708911905389,Winter Holidays,49.5675652556697
Turkish Airlines,DAC,RJH,0.012148348222369654,Direct,Airbus A320,First Class,Direct Booking,3444.9488797164686,-1580.887565098517,Regular,34.86239107012204
AirAsia,RJH,CXB,0.23460233167384104,Direct,Airbus A320,Economy,Online Website,-105139.53704565277,7813.885069679229,Regular,94.29442000341444
Thai Airways,CXB,JSR,3.171899244559198,Direct,Airbus A320,First Class,Online Website,-10954.957614854578,-1555.4824775881996,Regular,87.29347146300628
Saudia,SPD,BKK,2.699775958094688,Direct,Boeing 737,First Class,Online Website,147349.03203791592,24685.645357429552,Winter Holidays,20.783239265045644
Etihad Airways,ZYL,KUL,0.9987777840924439,1 Stop,Boeing 787,Economy,Direct Booking,35191.05820012864,12026.770902669321,Winter Holidays,29.55518428759581
Gulf Air,BZL,ZYL,1.4633632891990909,Direct,Airbus A320,Economy,Online Website,88422.98671432058,-2850.4619014378372,Regular,66.05682130282798
Turkish Airlines,JSR,BKK,4.062905793093366,Direct,Boeing 787,First Class,Direct Booking,145625.25614129286,23619.773842356,Regular,52.32939714335771
Air India,ZYL,CXB,2.1878713276895656,Direct,Airbus A320,Economy,Direct Booking,14791.661879740213,125.66282999014257,Regular,45.778915714858115
Lufthansa,ZYL,JSR,1.902560559131517,Direct,Airbus A320,Business,Travel Agency,-13774.890662196005,1458.2197010594612,Regular,31.719060731085527
British Airways,BZL,LHR,11.357267384056271,1 Stop,Airbus A350,Business,Direct Booking,100408.09082253158,15628.85685400967,Regular,-0.17703349166545124
FlyDubai,BZL,JSR,-3.442168751701835,Direct,Airbus A320,Economy,Direct Booking,30816.277421578186,4738.654600601654,Regular,99.28521461911964
Air Astra,CXB,DOH,5.093947012272189,1 Stop,Boeing 787,Economy,Direct Booking,14795.32528285476,6713.596736006884,Regular,68.21241710665998
Air Arabia,DAC,BKK,4.444834899989517,1 Stop,Boeing 787,Business,Online Website,14208.560409541004,4859.225469148742,Regular,57.70264684809786
Air Astra,BZL,IST,3.6675203543719044,1 Stop,Airbus A350,Economy,Online Website,17574.92426713911,5798.224457337416,Regular,69.13498332557526
US-Bangla Airlines,BZL,CGP,-0.16228372396349722,Direct,Airbus A320,Economy,Direct Booking,21165.22815924366,-2930.937092471853,Winter Holidays,74.0293414793804
Turkish Airlines,ZYL,DXB,5.934072193563733,Direct,Boeing 737,First Class,Direct Booking,264047.91859393055,45942.39090006592,Regular,41.19890582930104
AirAsia,ZYL,SPD,0.6181733505415856,Direct,Airbus A320,Business,Direct Booking,12088.648420623933,4742.532864950514,Regular,46.27810146977765
Air India,RJH,SIN,2.456427011488726,Direct,Boeing 787,Economy,Online Website,-29320.377503818556,1532.558525711247,Winter Holidays,57.45893249475935
Emirates,ZYL,LHR,9.294536004228458,1 Stop,Boeing 777,Business,Direct Booking,-8678.929172232834,13109.037543603796,Winter Holidays,51.226360242640645
AirAsia,BZL,KUL,2.645939744051958,Direct,Boeing 737,Business,Direct Booking,40438.09552096904,13818.5500187195,Regular,17.18500366811803
Air Arabia,SPD,CGP,0.8955612642194115,Direct,Airbus A320,First Class,Direct Booking,37420.710120676886,-1923.4634281560716,Regular,35.25372714224516
Emirates,RJH,LHR,7.610008794521061,1 Stop,Boeing 777,First Class,Direct Booking,194113.37031276114,35034.30708042245,Regular,36.85531969613811
British Airways,BZL,DEL,5.015488362989205,Direct,Boeing 737,First Class,Travel Agency,102914.21281697488,35322.28252210406,Regular,24.81382225436291
Biman Bangladesh Airlines,DAC,IST,6.28168061470904,2 Stops,Boeing 777,Economy,Direct Booking,41278.490370082814,17788.03005435671,Regular,10.980166655004213
Malaysian Airlines,JSR,DAC,0.36311880550935527,Direct,Airbus A320,Business,Travel Agency,-17455.91333955426,6642.134320105419,Regular,12.100559666212213
US-Bangla Airlines,RJH,CGP,3.652052927782769,Direct,Airbus A320,Business,Direct Booking,-23418.3122661146,10617.848686061894,Regular,15.488626103974532
Singapore Airlines,JSR,SPD,5.315463147753154,Direct,Airbus A320,Economy,Travel Agency,4207.021322893438,-1457.1498652845787,Regular,47.54788773327175
Lufthansa,DAC,DXB,7.28086665974552,1 Stop,Boeing 737,Economy,Online Website,72941.24331672008,9772.414636224616,Regular,22.581327091868616
British Airways,CXB,JFK,17.34387396134007,1 Stop,Airbus A350,First Class,Direct Booking,234220.87035744273,40102.61779745101,Winter Holidays,61.23750207173807
IndiGo,RJH,KUL,3.8683911729488734,Direct,Boeing 737,Business,Travel Agency,31804.386837922397,-10519.210962100358,Regular,45.470088231905535
FlyDubai,CXB,SIN,5.712175468648084,Direct,Boeing 737,First Class,Online Website,80622.65199816019,19000.20066860632,Regular,81.68922342280939
SriLankan Airlines,CXB,LHR,9.027477082614855,1 Stop,Boeing 777,Economy,Travel Agency,125651.31987971615,18081.488166716903,Winter Holidays,40.16864822874187
Emirates,CXB,JED,8.26978461014852,2 Stops,Airbus A350,Economy,Direct Booking,118990.40302695657,21357.089275071667,Regular,37.01637788975333
Cathay Pacific,CGP,YYZ,11.066488456158153,1 Stop,Airbus A350,Economy,Travel Agency,32676.9668130984,10685.58031951333,Regular,7.235229440786007
US-Bangla Airlines,CGP,DOH,6.720346334064422,Direct,Boeing 737,First Class,Travel Agency,243102.2008719483,35717.293135845466,Regular,29.309131982416595
Air India,ZYL,KUL,0.2728600524345839,Direct,Boeing 787,Economy,Direct Booking,49291.28764223377,18502.57265738443,Winter Holidays,27.45170407055914
British Airways,CGP,CXB,0.9550956106414459,Direct,Airbus A320,Business,Travel Agency,-45459.79953006914,3351.2697028940147,Regular,61.97811278920851
British Airways,CGP,RJH,0.9094371820350365,Direct,Airbus A320,Business,Direct Booking,94243.39944775574,2957.1673316881397,Regular,28.96761872312122
Biman Bangladesh Airlines,CGP,SPD,3.779833472784091,Direct,Airbus A320,Business,Direct Booking,-35364.89634800324,4709.033086313301,Regular,48.15421540766307
US-Bangla Airlines,SPD,JED,5.726160151875882,1 Stop,Boeing 777,Business,Online Website,39223.81265735137,12628.248677724798,Regular,25.993220167963496
Biman Bangladesh Airlines,JSR,DEL,-1.8741041257492816,Direct,Boeing 787,Business,Online Website,14806.822279020402,23669.57386359114,Regular,88.82944704626016
Air Astra,JSR,DXB,0.993447418737897,Direct,Boeing 787,Business,Online Website,62303.92666130011,14519.086434364051,Regular,48.18619181780658
Emirates,SPD,DEL,2.163074405367959,Direct,Boeing 787,Economy,Travel Agency,28164.151700490624,2667.10759634892,Eid,64.17327476033878
Qatar Airways,CGP,YYZ,13.916071481007764,1 Stop,Boeing 777,First Class,Online Website,65015.53303908892,7701.264676193501,Regular,32.28854513971276
Air India,CGP,CCU,-0.9547670921880529,Direct,Airbus A320,Business,Travel Agency,24842.872825237966,5174.11440772519,Regular,56.97696159434515
British Airways,BZL,JED,5.956173089190784,1 Stop,Boeing 777,Business,Travel Agency,14531.479903652407,10626.800128493021,Regular,41.92852048330283
Vistara,BZL,IST,7.77418853721681,1 Stop,Airbus A350,Business,Direct Booking,-36449.6776784429,18529.757909889828,Winter Holidays,43.34919528382246
Saudia,ZYL,CXB,0.42111369825440526,Direct,Airbus A320,First Class,Online Website,27459.00334172335,-5813.384660256913,Regular,46.494366817176946
US-Bangla Airlines,JSR,CCU,1.1979706288126457,Direct,Airbus A320,Economy,Travel Agency,-35599.701158918404,2799.998040475256,Regular,80.87956748196237
Biman Bangladesh Airlines,ZYL,DOH,2.7407712106491955,Direct,Boeing 737,Business,Direct Booking,60090.679083281124,16455.223740444475,Regular,42.483670271037
Air Arabia,CGP,CXB,2.7599576827104286,Direct,Airbus A320,Economy,Direct Booking,40139.39257518329,-1508.5747534854975,Eid,82.94213094932965
Biman Bangladesh Airlines,CXB,DOH,2.5117344900740624,Direct,Boeing 787,Business,Online Website,95556.21743983435,18054.10931826513,Regular,29.928968516610578
Malaysian Airlines,CXB,DEL,2.3563816476757666,Direct,Boeing 737,Economy,Travel Agency,68094.9602648454,13660.12967531864,Regular,38.34041158628622
Gulf Air,CXB,JFK,15.969577426080079,1 Stop,Boeing 777,First Class,Travel Agency,99949.43047913384,20081.23992716804,Regular,74.71584356007315
Air Arabia,JSR,JFK,12.911960549992651,1 Stop,Airbus A350,First Class,Travel Agency,48494.54962118456,11214.095606964305,Regular,24.08418407089144
US-Bangla Airlines,BZL,DAC,0.6559077593014299,Direct,Airbus A320,Economy,Direct Booking,-67508.46426547923,-1997.9381179617753,Regular,-0.394838755663212
Malaysian Airlines,RJH,DEL,-1.4075698391569154,Direct,Boeing 737,Economy,Travel Agency,86308.57724481891,16489.96721196335,Regular,36.23533611015592
Air Arabia,SPD,CXB,2.468025876354815,Direct,Airbus A320,Economy,Online Website,61814.01655777143,-7299.632610318175,Regular,57.60374555545044
Cathay Pacific,DAC,CXB,-2.0479152526442324,Direct,Airbus A320,Business,Travel Agency,48563.14811430769,1245.2460360202283,Regular,26.57318326327266
Singapore Airlines,JSR,YYZ,10.541792455603872,1 Stop,Boeing 777,Business,Direct Booking,68852.85355692542,12504.17759094462,Regular,50.79415781707786
Gulf Air,CGP,DAC,-0.2940564703038018,Direct,Airbus A320,Economy,Direct Booking,-11247.01358408417,13786.407217582293,Winter Holidays,44.84703435644769
Gulf Air,RJH,BZL,0.2939008909181237,Direct,Airbus A320,First Class,Direct Booking,59774.017831712874,-1747.527405008509,Regular,78.14843485448918
Qatar Airways,RJH,YYZ,12.014102389072729,1 Stop,Airbus A350,Business,Travel Agency,34187.584205923966,10780.740612550742,Regular,-5.932831817284477
Singapore Airlines,DAC,DXB,5.221224150694305,Direct,Boeing 787,First Class,Online Website,223132.75307064684,34344.74518291058,Regular,18.506034110003107
Gulf Air,SPD,SIN,2.111063335295967,1 Stop,Boeing 787,First Class,Travel Agency,134387.62475830666,30474.896130641268,Winter Holidays,74.68746161372098
Kuwait Airways,SPD,CGP,2.523619855100841,Direct,Airbus A320,First Class,Direct Booking,-13574.70897775592,-6256.353553673243,Regular,97.1219119737412
AirAsia,SPD,DOH,6.2020403856016255,Direct,Boeing 737,Business,Travel Agency,26636.30203957889,14483.06693212429,Regular,81.7631006338622
Gulf Air,DAC,SIN,0.5959281046382405,Direct,Boeing 737,First Class,Direct Booking,92467.56301220885,28699.087107314954,Regular,-2.7303248097655457
Gulf Air,ZYL,DOH,2.148046466295326,1 Stop,Boeing 787,Business,Travel Agency,80217.32336659967,22691.373696750885,Winter Holidays,95.63948300094954
British Airways,CGP,BKK,-0.1084698198546925,Direct,Boeing 737,Business,Online Website,43385.72927440211,8973.79971546687,Regular,35.77865091150759
Kuwait Airways,DAC,ZYL,-0.11471266740840236,Direct,Airbus A320,Business,Direct Booking,31762.362968205834,11719.913955415635,Regular,44.534001604594735
Singapore Airlines,CXB,DEL,0.9172583429900774,1 Stop,Boeing 737,Business,Direct Booking,123269.13144201208,29106.461980788918,Regular,25.212631011778967
Lufthansa,RJH,LHR,10.217836951463218,1 Stop,Boeing 777,Economy,Direct Booking,-28563.89696451808,13265.102903084677,Regular,3.372781004191774
NovoAir,BZL,SIN,1.554623750624744,1 Stop,Boeing 737,First Class,Travel Agency,61356.59403757452,4961.374573242458,Regular,28.791256568999273
Air India,JSR,YYZ,11.28131052845324,1 Stop,Airbus A350,Economy,Online Website,-5583.907985583002,18650.386008684793,Regular,3.773054705053216
Air India,CXB,BZL,2.0427822709182513,Direct,Airbus A320,Business,Direct Booking,2376.8893170122337,5760.482901021546,Regular,69.99164724313881
Saudia,ZYL,DAC,4.667123624027776,Direct,Airbus A320,First Class,Travel Agency,-58833.87931613335,3976.8731978598257,Regular,40.78376516688587
Gulf Air,CXB,CGP,-0.30743183512441397,Direct,Airbus A320,Business,Direct Booking,-31584.742735193315,-141.46404947327278,Regular,39.07739128150106
Saudia,RJH,DEL,3.7361205350993454,Direct,Boeing 737,Business,Direct Booking,61754.78035151691,-4059.846014204002,Regular,82.82343323099717
Thai Airways,JSR,DXB,3.722558786378225,Direct,Boeing 737,Business,Online Website,140650.11471272417,14033.275646587947,Regular,37.87527931342491
Lufthansa,CGP,JED,7.53650093929952,1 Stop,Airbus A350,First Class,Travel Agency,21792.911399937184,18647.334364035716,Regular,76.29400404948544
Air Arabia,ZYL,JFK,14.09064314935007,2 Stops,Boeing 777,Economy,Direct Booking,8528.944381723737,15947.05227495593,Regular,13.991646572937963
US-Bangla Airlines,JSR,IST,8.64881249609728,1 Stop,Boeing 777,Economy,Direct Booking,59998.537067775556,-1339.826205595803,Regular,100.94810103531248
Gulf Air,BZL,JFK,15.556424923438618,1 Stop,Airbus A350,First Class,Travel Agency,95814.67154012536,29042.588881610704,Winter Holidays,74.6638124143432
Air Arabia,DAC,DEL,3.0722142681545126,1 Stop,Boeing 737,First Class,Travel Agency,231204.90606522892,32152.164889579657,Regular,26.73242467669725
Turkish Airlines,CGP,YYZ,13.216008933646986,2 Stops,Airbus A350,First Class,Direct Booking,21318.00331612977,5908.599081514509,Regular,5.205977784476984
Biman Bangladesh Airlines,CXB,JSR,1.3663584707502492,Direct,Airbus A320,Economy,Online Website,14189.274561806807,-1023.2452770539653,Regular,79.6657561185467
Air Astra,CGP,BZL,1.8760508826185722,Direct,Airbus A320,Business,Travel Agency,-38291.88709499812,8740.730301570109,Regular,10.318629649285636
IndiGo,CXB,JSR,1.2640114643740963,Direct,Airbus A320,Business,Online Website,-30104.08722843342,-6343.64625929719,Regular,28.769279030484448
Thai Airways,CGP,DEL,2.7301049076945194,1 Stop,Boeing 737,First Class,Direct Booking,119399.66732781872,32828.19326541561,Regular,55.92569902833157
Lufthansa,ZYL,JED,7.628968946174316,1 Stop,Airbus A350,First Class,Direct Booking,256631.25362878246,50486.70882258839,Regular,32.452952454716105
Air India,BZL,BKK,4.886176759319467,Direct,Boeing 737,Economy,Online Website,28879.321408849686,14323.458671157594,Regular,35.89324761781538
Vistara,JSR,DAC,-3.3452374658190895,Direct,Airbus A320,Business,Travel Agency,75913.24259945478,-8439.08226087975,Winter Holidays,50.67482148284344
Malaysian Airlines,SPD,DOH,1.9419637573070778,Direct,Boeing 787,First Class,Direct Booking,275981.85666614486,50387.41631176413,Regular,44.092522270764306
SriLankan Airlines,CGP,KUL,5.8793137870558025,Direct,Boeing 787,Economy,Direct Booking,28900.44842056508,11226.49168397488,Regular,76.14969791411508
Qatar Airways,ZYL,CXB,2.1112908675726594,Direct,Airbus A320,Business,Direct Booking,56367.09897713561,-1908.7605362517552,Regular,67.84210068070797
Gulf Air,DAC,DOH,4.431924446393792,Direct,Boeing 737,First Class,Direct Booking,47978.29276691498,3878.7352775971212,Winter Holidays,88.41634450778592
Qatar Airways,CXB,CGP,0.9373199617324846,Direct,Airbus A320,Business,Online Website,-456.004992257268,-5159.01004633949,Regular,2.5453738041579372
Emirates,RJH,KUL,1.998500194675168,1 Stop,Boeing 787,Economy,Online Website,116968.44955166036,20892.14021509805,Regular,-11.157545649416207
Qatar Airways,CGP,JFK,12.662844900306382,1 Stop,Airbus A350,Economy,Direct Booking,54169.51242539159,17997.868573914646,Regular,50.154942245660955
Saudia,SPD,DAC,-1.1495831215853907,Direct,Airbus A320,Economy,Direct Booking,15555.49060492936,7245.563982953784,Regular,-2.99163354136191
US-Bangla Airlines,SPD,DAC,-2.913657629516245,Direct,Airbus A320,Business,Travel Agency,-24601.252172381264,-2208.1602421316766,Regular,93.95174782383081
Qatar Airways,SPD,CGP,-1.342166513932874,Direct,Airbus A320,Economy,Direct Booking,4521.866211352964,1737.109591194635,Regular,110.16296801023287
Singapore Airlines,RJH,BZL,0.8499956902327013,Direct,Airbus A320,First Class,Travel Agency,26829.03730664881,-3513.23220490639,Regular,88.7572466233912
NovoAir,CGP,IST,5.698082564852282,1 Stop,Airbus A350,Business,Online Website,-28525.101183244096,14199.784046467765,Regular,20.407015268369722
Biman Bangladesh Airlines,JSR,ZYL,2.608032947043995,Direct,Airbus A320,First Class,Online Website,10448.087402501013,6625.060654250202,Winter Holidays,73.69654103802824
Air Astra,CXB,BKK,3.8163710630746666,Direct,Boeing 787,First Class,Travel Agency,113379.56694737074,20235.615852590276,Regular,74.5706709012828
Singapore Airlines,SPD,JSR,1.5176863171796302,Direct,Airbus A320,Economy,Online Website,-26524.596287828543,-720.3795030725153,Regular,79.31093148879242
Vistara,DAC,CXB,1.3627130120663606,Direct,Airbus A320,Business,Travel Agency,55520.18442808723,358.94247666560284,Regular,35.723683588012506
British Airways,ZYL,DAC,1.869123422520981,Direct,Airbus A320,Economy,Direct Booking,-12697.596748139173,-3431.0080815609413,Regular,88.37823564332083
Etihad Airways,ZYL,BKK,5.92441181965949,Direct,Boeing 737,Economy,Online Website,-57870.59855456085,21959.385443584048,Regular,28.02792480867471
Saudia,CGP,SPD,0.26737030579402643,Direct,Airbus A320,First Class,Online Website,15109.757535151444,-1643.098335369121,Regular,-3.616781966982427
Singapore Airlines,RJH,DEL,-0.5813075414747417,1 Stop,Boeing 737,First Class,Travel Agency,183096.02507187022,33181.87298328543,Regular,33.177521414850354
US-Bangla Airlines,CGP,ZYL,1.450406978989652,Direct,Airbus A320,Economy,Travel Agency,-43546.32566935096,-3053.450578333151,Regular,31.880117854144054
IndiGo,ZYL,IST,7.655244514548924,1 Stop,Airbus A350,Economy,Online Website,10187.966783568187,7709.413649814571,Regular,87.72431044898981
Malaysian Airlines,CXB,BKK,0.8624576514069073,1 Stop,Boeing 787,Business,Travel Agency,69595.3571869198,22044.18821832086,Regular,53.97221934452506
British Airways,SPD,KUL,4.027815788426706,1 Stop,Boeing 737,Business,Direct Booking,113709.79230967785,12343.789514504264,Regular,76.86616415088413
NovoAir,JSR,SIN,3.460260623749717,1 Stop,Boeing 737,Business,Direct Booking,55467.19725946976,19603.443181418745,Regular,77.44190550053798
Singapore Airlines,CGP,DAC,2.4168181019238895,Direct,Airbus A320,Business,Direct Booking,63308.365061584576,-673.5829970241488,Winter Holidays,47.00117237304286
Air India,CXB,JFK,15.41255069306626,1 Stop,Boeing 777,First Class,Online Website,131187.00857467193,30796.597584104915,Regular,23.084570846593344
Lufthansa,CGP,BZL,-0.9405664455601368,Direct,Airbus A320,First Class,Direct Booking,37730.042351569384,-7165.155895530126,Regular,-7.272903757343531
Kuwait Airways,RJH,BKK,1.9784239932259409,1 Stop,Boeing 737,Business,Online Website,157364.93326290353,22470.67400266996,Regular,48.64561121498201
Lufthansa,CGP,LHR,6.84704715114141,1 Stop,Boeing 777,Business,Direct Booking,11779.510879724216,10469.94682279241,Regular,92.69658291063277
Cathay Pacific,JSR,SIN,7.232772592948114,Direct,Boeing 737,Business,Direct Booking,77593.73661615865,21612.87155170375,Regular,11.693134654713113
FlyDubai,SPD,BZL,2.069471679963611,Direct,Airbus A320,Business,Online Website,-550.1788417717125,-3077.703988629566,Winter Holidays,22.014579310170443
Malaysian Airlines,ZYL,KUL,3.540851221564477,1 Stop,Boeing 737,First Class,Direct Booking,297753.534800286,47614.99112334241,Regular,68.36224469706063
Vistara,SPD,LHR,4.961931415915981,1 Stop,Airbus A350,Economy,Online Website,69483.62443045604,8720.049585057464,Winter Holidays,67.84955839158137
FlyDubai,BZL,ZYL,2.932268114644784,Direct,Airbus A320,Business,Travel Agency,13892.627347220186,651.3872930767335,Regular,32.23804286101905
Gulf Air,DAC,JED,-0.5386033083361248,1 Stop,Airbus A350,Business,Direct Booking,97695.3547635076,23013.46119220486,Winter Holidays,79.68241323369149
IndiGo,BZL,DEL,0.5999210792525411,Direct,Boeing 737,First Class,Direct Booking,5901.750772328913,10760.238012814987,Regular,24.035646163836304
Emirates,BZL,JED,10.139436393371195,1 Stop,Airbus A350,Economy,Direct Booking,31859.146423443162,882.529273165781,Winter Holidays,50.96161066452151
Biman Bangladesh Airlines,CGP,SIN,1.1371018497320449,Direct,Boeing 787,Business,Direct Booking,121252.14003986922,19629.995179333244,Regular,-8.144775248707646
IndiGo,CGP,LHR,7.607527242873534,1 Stop,Boeing 777,Economy,Direct Booking,37106.835206502044,1970.8592813351206,Regular,77.33945166542978
Kuwait Airways,BZL,JED,6.116201689746878,1 Stop,Boeing 777,First Class,Travel Agency,46629.60460151683,21313.527268137703,Regular,3.2000849451835935
Air Astra,DAC,JFK,15.642556869853296,1 Stop,Airbus A350,Economy,Travel Agency,28794.721476641793,2923.1191223246187,Regular,61.26756939655224
Singapore Airlines,CGP,SIN,3.7522992999783034,Direct,Boeing 787,First Class,Online Website,58615.03805061072,26643.432574761307,Winter Holidays,57.379480946386394
Cathay Pacific,CGP,BZL,0.18196048397421893,Direct,Airbus A320,Economy,Travel Agency,-19232.989933746765,5465.338310905628,Regular,37.30500429236576
Etihad Airways,BZL,KUL,0.2641050724107985,Direct,Boeing 737,Economy,Online Website,118797.75030884866,16505.32659287397,Regular,85.13879371572892
Saudia,JSR,DEL,1.9503334780852817,1 Stop,Boeing 787,Business,Travel Agency,68882.76859379106,2255.583908816099,Regular,60.912411658848924
Cathay Pacific,JSR,RJH,3.0276856015170774,Direct,Airbus A320,First Class,Travel Agency,53835.31661449975,-2892.599474346474,Regular,80.4146563941739
IndiGo,SPD,RJH,-0.08945420665050785,Direct,Airbus A320,Business,Direct Booking,-61055.814738506466,-231.8694882571291,Winter Holidays,52.07898390457889
AirAsia,DAC,IST,3.526938416444388,1 Stop,Boeing 777,Economy,Online Website,85205.74805252836,17757.722742407444,Regular,108.72273326666289
US-Bangla Airlines,BZL,SIN,4.715030232067049,Direct,Boeing 737,Economy,Travel Agency,50139.573283236634,5005.369217476113,Regular,5.046780866091618
Lufthansa,BZL,JFK,13.869609322549278,1 Stop,Boeing 777,Economy,Online Website,50912.74962108453,14748.413780760733,Winter Holidays,33.53213851127695
Cathay Pacific,DAC,LHR,11.951641636254129,1 Stop,Airbus A350,Business,Direct Booking,73818.5373906587,16254.790898272244,Regular,79.57080275016482
Singapore Airlines,RJH,SPD,-1.571163755098774,Direct,Airbus A320,Business,Direct Booking,-28637.18392692711,7727.804020325285,Regular,34.28631571361671
Kuwait Airways,DAC,ZYL,1.8711582690314337,Direct,Airbus A320,First Class,Direct Booking,-614.1651853045914,-8338.756270733978,Regular,53.07734958530069
Gulf Air,BZL,IST,9.505294564711397,1 Stop,Boeing 777,Economy,Travel Agency,60134.38360001774,507.13063429474823,Regular,70.47083907847497
Thai Airways,RJH,ZYL,0.20384949623213533,Direct,Airbus A320,First Class,Travel Agency,-55446.34044505107,-5072.411026476414,Regular,-0.06464292088469037
Saudia,JSR,CGP,1.0511814102403008,Direct,Airbus A320,First Class,Direct Booking,-1833.068904293994,-5915.941231438497,Regular,32.894357101787364
Kuwait Airways,BZL,LHR,10.994376668437582,1 Stop,Airbus A350,Business,Travel Agency,115120.46088192417,21449.556684415562,Regular,52.33624001734458
Cathay Pacific,CXB,DOH,4.544872410015257,1 Stop,Boeing 787,First Class,Direct Booking,192261.8271002584,34326.738049361345,Regular,57.67112025566001
IndiGo,BZL,DXB,5.945585438108249,Direct,Boeing 737,First Class,Online Website,114430.77347277224,27355.171083571942,Regular,24.03217007984624
NovoAir,SPD,DAC,1.2099972113680897,Direct,Airbus A320,Business,Direct Booking,13349.762113326433,-4146.305698091932,Winter Holidays,83.53371820282075
Biman Bangladesh Airlines,SPD,DOH,-0.4445882134185517,1 Stop,Boeing 737,Business,Direct Booking,8833.398072711803,2549.6436898390475,Regular,21.346368817511507
Qatar Airways,JSR,ZYL,0.18753473248553298,Direct,Airbus A320,Economy,Direct Booking,-5726.767226435475,1832.609168361884,Regular,22.010679067365853
US-Bangla Airlines,DAC,SPD,0.5534419382945067,Direct,Airbus A320,Business,Travel Agency,36389.079681833995,14573.319850824044,Regular,33.59008680569331
FlyDubai,CXB,LHR,7.654713168547389,1 Stop,Boeing 777,Economy,Direct Booking,-7297.420999919641,12395.42582892717,Winter Holidays,9.558100714324969
Qatar Airways,CGP,DEL,2.9075831072601304,Direct,Boeing 787,Economy,Travel Agency,36837.81093651071,8142.431816530891,Winter Holidays,35.91939765652077
Qatar Airways,CGP,KUL,1.0386642721201331,Direct,Boeing 737,First Class,Direct Booking,211956.039023359,44539.91609661663,Regular,7.809079903244179
Cathay Pacific,CXB,SPD,-0.13797007969500164,Direct,Airbus A320,Business,Direct Booking,-34766.27543672736,4682.264413704583,Regular,69.71155389909478
SriLankan Airlines,CGP,LHR,9.895286850166384,1 Stop,Airbus A350,Economy,Direct Booking,1657.1225884274463,18190.458523078596,Regular,4.879757255313756
NovoAir,JSR,DXB,3.228326145880474,Direct,Boeing 787,First Class,Online Website,182134.1214108077,31593.073742637844,Winter Holidays,38.49608272300288
Kuwait Airways,BZL,DOH,5.503198797314548,Direct,Boeing 787,Business,Travel Agency,140867.7104824241,15792.455557954683,Regular,81.3033507711053
Lufthansa,SPD,JED,5.363885974105086,2 Stops,Airbus A350,Economy,Online Website,4681.618145035853,6407.842513312546,Winter Holidays,24.237238039365085
Air India,CXB,IST,6.508201859022697,1 Stop,Airbus A350,First Class,Online Website,254932.29555630157,31797.17078641322,Regular,62.029108610990896
Biman Bangladesh Airlines,SPD,BZL,-0.3604798607303674,Direct,Airbus A320,Economy,Travel Agency,-37740.65318430651,1841.4627063681708,Regular,53.997022574568035
Air Arabia,CGP,IST,8.373640536073285,1 Stop,Boeing 777,First Class,Online Website,122144.57068549932,12756.236493585411,Regular,48.504013021546214
Biman Bangladesh Airlines,CXB,SIN,3.0921504247223086,Direct,Boeing 737,First Class,Travel Agency,144454.35838108964,15526.079721092767,Regular,34.486223148875325
SriLankan Airlines,SPD,CGP,1.2598531831962465,Direct,Airbus A320,First Class,Direct Booking,-6510.469496925716,-3054.7906764364384,Regular,42.63700406874648
Cathay Pacific,SPD,DAC,2.6154932199012206,Direct,Airbus A320,Economy,Travel Agency,-2397.2002961802236,2094.353891992479,Regular,25.922178308514884
Cathay Pacific,CXB,YYZ,17.47816715038599,2 Stops,Airbus A350,First Class,Travel Agency,243605.02850952628,45007.75841764132,Regular,13.811940429521062
